appid,header_image,windows,mac,linux,metacritic_score,recommendations,developers,publishers,positive,negative,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,pct_pos_total,num_reviews_total,pct_pos_recent,num_reviews_recent,release_year,final_name,final_price,on_steam,on_epic,gen_action,gen_adventure,gen_rpg,gen_simulation,gen_strategy,gen_sports_racing,gen_horror,gen_2d,gen_3d,gen_anime,gen_open_world,gen_sandbox,gen_rogue,gen_scifi,gen_survival,gen_indie,gen_puzzle,gen_arcade,gen_story,gen_fps,lang_english,lang_turkish,cat_singleplayer,cat_controller,cat_multiplayer,cat_coop,cat_online_coop,cat_pvp,cat_split_screen,cat_mmo,is_retro,is_mid_era,is_recent,dev_rockstar,dev_ubisoft,dev_valve,dev_bethesda,dev_ea,dev_square_enix,dev_capcom,dev_fromsoftware,dev_cdprojekt,dev_sony,norm_reviews
1265820.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1265820/header.jpg?t=1741256599,1,0,0,0.0,2771.0,['Ground Shatter'],['Raw Fury'],2830.0,250.0,100000 - 200000,0.0,0.0,0.0,0.0,92.0,2781.0,78.0,121.0,2021.0,Fights in Tight Spaces,24.99,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.16181010325569606
250560.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/250560/header.jpg?t=1493098267,1,1,1,76.0,995.0,['3 Sprockets'],['3 Sprockets'],1054.0,282.0,100000 - 200000,0.0,0.0,0.0,0.0,78.0,995.0,-1.0,-1.0,2014.0,Fight The Dragon,9.99,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06485745294909717
493540.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/493540/header.jpg?t=1729500541,1,1,1,77.0,1188.0,['Bedtime Digital Games'],['Bedtime Digital Games'],4487.0,656.0,500000 - 1000000,153.0,0.0,149.0,0.0,87.0,1194.0,83.0,12.0,2017.0,Figment,3.99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08205051114977302
2996570.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2996570/header.jpg?t=1733379880,1,0,0,0.0,0.0,['Figure Fantasy'],['Figure Fantasy'],0.0,0.0,0 - 0,0.0,0.0,0.0,0.0,86.0,866.0,80.0,26.0,2024.0,Figure Adventure,0.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.051765141841251666
1137350.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1137350/header.jpg?t=1733140308,1,0,1,82.0,585.0,['Beard Envy'],"['Kasedo Games', 'Maple Whispering Limited']",612.0,93.0,50000 - 100000,134.0,0.0,134.0,0.0,87.0,586.0,-1.0,-1.0,2020.0,Filament,16.99,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0149527276891461
233190.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/233190/header.jpg?t=1650905619,1,0,0,66.0,785.0,['Mighty Rocket Studio'],['Focus Entertainment'],1032.0,194.0,100000 - 200000,242.0,0.0,383.0,0.0,85.0,787.0,-1.0,-1.0,2013.0,Final Exam,4.99,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.042747287911694506
1173770.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1173770/header.jpg?t=1741165300,1,0,0,0.0,6055.0,['Square Enix'],['Square Enix'],6134.0,350.0,500000 - 1000000,0.0,0.0,0.0,0.0,94.0,6058.0,97.0,82.0,2021.0,FINAL FANTASY,11.99,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.23527884905537597
1173780.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1173780/header.jpg?t=1741165422,1,0,0,0.0,2330.0,['Square Enix'],['Square Enix'],2012.0,493.0,200000 - 500000,0.0,0.0,0.0,0.0,80.0,2330.0,89.0,38.0,2021.0,FINAL FANTASY II,11.99,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1451155494816312
1173790.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1173790/header.jpg?t=1741165502,1,0,0,0.0,1968.0,['Square Enix'],['Square Enix'],1974.0,142.0,200000 - 500000,1131.0,0.0,1131.0,0.0,93.0,1970.0,100.0,24.0,2021.0,FINAL FANTASY III,17.99,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.12928146895960174
239120.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/239120/header.jpg?t=1624982475,1,0,0,68.0,2719.0,['Square Enix'],['Square Enix'],2680.0,568.0,500000 - 1000000,1176.0,0.0,991.0,0.0,82.0,2719.0,100.0,10.0,2014.0,Final Fantasy III (3D Remake),15.99,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.15968278037899583
